"year","total","group"
2012,565000,"Long-term immigration to the UK"
2013,594000,"Long-term immigration to the UK"
2014,655000,"Long-term immigration to the UK"
2015,695000,"Long-term immigration to the UK"
2016,758000,"Long-term immigration to the UK"
2017,640000,"Long-term immigration to the UK"
2018,676000,"Long-term immigration to the UK"
2019,760000,"Long-term immigration to the UK"
2020,664000,"Long-term immigration to the UK"
2021,675000,"Long-term immigration to the UK"
2022,980000,"Long-term immigration to the UK"
2023,1236000,"Long-term immigration to the UK"
2024,1173000,"Long-term immigration to the UK"
2012,278100,"Study visa status"
2013,296226,"Study visa status"
2014,293648,"Study visa status"
2015,272919,"Study visa status"
2016,294454,"Study visa status"
2017,330101,"Study visa status"
2018,354878,"Study visa status"
2019,404410,"Study visa status"
2020,250121,"Study visa status"
2021,435110,"Study visa status"
2022,623698,"Study visa status"
2023,604253,"Study visa status"
2024,419312,"Study visa status"
2012,145110,"Work visa status"
2013,154760,"Work visa status"
2014,167146,"Work visa status"
2015,165900,"Work visa status"
2016,163922,"Work visa status"
2017,164943,"Work visa status"
2018,175812,"Work visa status"
2019,192559,"Work visa status"
2020,114528,"Work visa status"
2021,239193,"Work visa status"
2022,421565,"Work visa status"
2023,613627,"Work visa status"
2024,369419,"Work visa status"
2012,40231,"Family visa status"
2013,33133,"Family visa status"
2014,34852,"Family visa status"
2015,37711,"Family visa status"
2016,37781,"Family visa status"
2017,40123,"Family visa status"
2018,43620,"Family visa status"
2019,55643,"Family visa status"
2020,37087,"Family visa status"
2021,42182,"Family visa status"
2022,47119,"Family visa status"
2023,80083,"Family visa status"
2024,86049,"Family visa status"
2012,29031,"Asylum and humanitarian status"
2013,30842,"Asylum and humanitarian status"
2014,33130,"Asylum and humanitarian status"
2015,41833,"Asylum and humanitarian status"
2016,44569,"Asylum and humanitarian status"
2017,40647,"Asylum and humanitarian status"
2018,44289,"Asylum and humanitarian status"
2019,51149,"Asylum and humanitarian status"
2020,37809,"Asylum and humanitarian status"
2021,152143,"Asylum and humanitarian status"
2022,369239,"Asylum and humanitarian status"
2023,164593,"Asylum and humanitarian status"
2024,154690,"Asylum and humanitarian status"
